"","X","Name","Visitor","Month","Rate","City","chengshi","NOTE","Year","Date"
"1",1,"南京中山陵园风景区","32.26",1,"4A","南京","NJ","",2004,"2004-01-15"
"2",2,"南京雨花台景区","1.65",1,"4A","南京","NJ","",2004,"2004-01-15"
"3",3,"南京夫子庙秦淮风光带","210",1,"4A","南京","NJ","",2004,"2004-01-15"
"4",4,"南京阅江楼景区","0",1,"4A","南京","NJ","",2004,"2004-01-15"
"5",5,"南京总统府景区","0",1,"4A","南京","NJ","",2004,"2004-01-15"
"6",6,"无锡太湖鼋头渚风景区","16.59",1,"4A","无锡","WX","",2004,"2004-01-15"
"7",7,"无锡灵山景区","14.4",1,"4A","无锡","WX","",2004,"2004-01-15"
"8",8,"无锡三国水浒景区","3.49",1,"4A","无锡","WX","",2004,"2004-01-15"
"9",9,"宜兴善卷洞风景区","1.99",1,"4A","无锡","WX","",2004,"2004-01-15"
"10",10,"无锡锡惠园林文物名胜区","14.56",1,"4A","无锡","WX","",2004,"2004-01-15"
"11",11,"徐州淮海战役烈士纪念塔园林","12.5",1,"4A","徐州","XZ","",2004,"2004-01-15"
"12",12,"常州天宁寺","12.11",1,"4A","常州","CZ","",2004,"2004-01-15"
"13",13,"常州天目湖旅游区","5.87",1,"4A","常州","CZ","",2004,"2004-01-15"
"14",14,"常州环球恐龙城","3.5",1,"4A","常州","CZ","",2004,"2004-01-15"
"15",15,"苏州拙政园","8.1",1,"4A","苏州","SZ","",2004,"2004-01-15"
"16",16,"苏州虎丘风景名胜区","10",1,"4A","苏州","SZ","",2004,"2004-01-15"
"17",17,"苏州乐园","4.33",1,"4A","苏州","SZ","",2004,"2004-01-15"
"18",18,"苏州周庄古镇游览区","12.8",1,"4A","苏州","SZ","",2004,"2004-01-15"
"19",19,"苏州同里古镇游览区","13.26",1,"4A","苏州","SZ","",2004,"2004-01-15"
"20",20,"苏州甪直古镇游览区","2.26",1,"4A","苏州","SZ","",2004,"2004-01-15"
"21",21,"常熟虞山-尚湖风景区","25.84",1,"4A","苏州","SZ","",2004,"2004-01-15"
"22",22,"苏州盘门景区","3.06",1,"4A","苏州","SZ","",2004,"2004-01-15"
"23",23,"苏州西山景区","2.05",1,"4A","苏州","SZ","",2004,"2004-01-15"
"24",24,"苏州木渎古镇","3.89",1,"4A","苏州","SZ","",2004,"2004-01-15"
"25",25,"苏州狮子林","4.2",1,"4A","苏州","SZ","",2004,"2004-01-15"
"26",26,"苏州网师园","0.5",1,"4A","苏州","SZ","",2004,"2004-01-15"
